Microsoft Windows [Version 10.0.19045.2251]
(c) Microsoft Corporation. All rights reserved.

C:\Luaan\CS331>python predict_contours.py
15 30 115 50 700 0.383897812239998
15 30 130 50 700 0.3816422675370602
15 30 145 50 700 0.38066895359495356
15 30 160 50 700 0.3856943122776686
15 30 175 50 700 0.387896495309423
15 30 190 50 700 0.3848311476089684
15 30 205 50 700 0.38304104799328353
15 30 220 50 700 0.3791632650159989
15 30 235 50 700 0.3775736100792738
15 30 250 50 700 0.3748172679666716
15 35 100 50 700 0.3876483251955504
15 35 115 50 700 0.3871977130796191
15 35 130 50 700 0.3873579511197212
15 35 145 50 700 0.382359415502065
15 35 160 50 700 0.3846011371973923
15 35 175 50 700 0.3847393348838695
15 35 190 50 700 0.38352488222928516
15 35 205 50 700 0.3825030193947921
15 35 220 50 700 0.37742024509858596
15 35 235 50 700 0.37599201476228966
15 35 250 50 700 0.3713823908716771
15 40 100 50 700 0.3798575332676255
15 40 115 50 700 0.3830110548856145
15 40 130 50 700 0.38184369279715136
15 40 145 50 700 0.3746644853750723
15 40 160 50 700 0.3802442406670473
15 40 175 50 700 0.3785025550041335
15 40 190 50 700 0.3809243295213168
15 40 205 50 700 0.38046563692441054
15 40 220 50 700 0.376501156793934
15 40 235 50 700 0.3765677908921651
15 40 250 50 700 0.37447067753709706
15 45 100 50 700 0.3810291271274793
15 45 115 50 700 0.38029493296121614
15 45 130 50 700 0.37858908841271127
15 45 145 50 700 0.37840818585454905
15 45 160 50 700 0.37791946549134825
15 45 175 50 700 0.3750709553599082
15 45 190 50 700 0.379899636398677
15 45 205 50 700 0.377853301782259
15 45 220 50 700 0.37614956460165333
15 45 235 50 700 0.37656999359805304
15 45 250 50 700 0.37897669374195786
15 50 100 50 700 0.3777983161448747
15 50 115 50 700 0.37785272329927255
15 50 130 50 700 0.3795168406937636
15 50 145 50 700 0.37885928873727975
15 50 160 50 700 0.3775072106726828
15 50 175 50 700 0.3751104881781737
15 50 190 50 700 0.3786012174229352
15 50 205 50 700 0.37807974081334256
15 50 220 50 700 0.3782220907320491
15 50 235 50 700 0.37581163548599344
15 50 250 50 700 0.3824374356332429
15 55 100 50 700 0.37663832088726246
15 55 115 50 700 0.37759806560223425
15 55 130 50 700 0.3779301468853807
15 55 145 50 700 0.37724076293386405
15 55 160 50 700 0.37781446249887446
15 55 175 50 700 0.37484429189688345
15 55 190 50 700 0.3784192916285062
15 55 205 50 700 0.3769973577043374
15 55 220 50 700 0.3775774861139433
15 55 235 50 700 0.38058498529676116
15 55 250 50 700 0.3798341691294125
15 60 100 50 700 0.3723554504806411
15 60 115 50 700 0.3742820277763855
15 60 130 50 700 0.37433924274994107
15 60 145 50 700 0.37696137187660556
15 60 160 50 700 0.37540496705525483
15 60 175 50 700 0.3744308656907149
15 60 190 50 700 0.3769691577236096
15 60 205 50 700 0.3785448431701737
15 60 220 50 700 0.3812023155088043
15 60 235 50 700 0.3797454031916614
15 60 250 50 700 0.3756453129011051
15 65 100 50 700 0.37208336507521084
15 65 115 50 700 0.37569783576613364
15 65 130 50 700 0.37453952000711105
15 65 145 50 700 0.3766727459507199
15 65 160 50 700 0.37636152785902754
15 65 175 50 700 0.3782655360086459
15 65 190 50 700 0.37624680831592927
15 65 205 50 700 0.3767876907045609
15 65 220 50 700 0.378856514826876
15 65 235 50 700 0.3801163058168206
15 65 250 50 700 0.3786452912937363
15 70 100 50 700 0.3773329579701178
15 70 115 50 700 0.38158298765619514
15 70 130 50 700 0.38114308770363065
15 70 145 50 700 0.37630144658819553
15 70 160 50 700 0.3792789635504896
15 70 175 50 700 0.37915576605723034
15 70 190 50 700 0.37887065921280905
15 70 205 50 700 0.3794998307102117
15 70 220 50 700 0.3798758068796892
15 70 235 50 700 0.3779848972691102
15 70 250 50 700 0.3756567170547806
15 75 100 50 700 0.38055953206262616
15 75 115 50 700 0.3806449654890439
15 75 130 50 700 0.3795977953678577
15 75 145 50 700 0.37599465186817266
15 75 160 50 700 0.3780326765173986
15 75 175 50 700 0.37710440250487837
15 75 190 50 700 0.37760790038366004
15 75 205 50 700 0.3764051142517768
15 75 220 50 700 0.3786659400629085
15 75 235 50 700 0.3752156402650906
15 75 250 50 700 0.374784169234643
15 80 100 50 700 0.3767119212783562
15 80 115 50 700 0.37547909678904895
15 80 130 50 700 0.3773294646749024
15 80 145 50 700 0.3718785774037918
15 80 160 50 700 0.3791291530746916
15 80 175 50 700 0.37360051103915576
15 80 190 50 700 0.3744972501214572
15 80 205 50 700 0.37450644093689545
15 80 220 50 700 0.37398345336950634
15 80 235 50 700 0.3739025284118002
15 80 250 50 700 0.37093813645309626
15 85 100 50 700 0.3766777478192977
15 85 115 50 700 0.37558999135463095
15 85 130 50 700 0.37614486417414045
15 85 145 50 700 0.37821701716056927
15 85 160 50 700 0.3764420406216733
15 85 175 50 700 0.3719211854575483
15 85 190 50 700 0.37274733858926645
15 85 205 50 700 0.37229064057205935
15 85 220 50 700 0.37135843713650035
15 85 235 50 700 0.37255567716643534
15 85 250 50 700 0.36990243293572983
15 90 100 50 700 0.3755702622182425
15 90 115 50 700 0.37464552295095127
15 90 130 50 700 0.37421560721084796
15 90 145 50 700 0.3768997812511623
15 90 160 50 700 0.3728506205207913
15 90 175 50 700 0.370991162797581
15 90 190 50 700 0.3697657714687716
15 90 205 50 700 0.37275154006277617
15 90 220 50 700 0.3708009658516904
15 90 235 50 700 0.36611874506878744
15 90 250 50 700 0.3635849287211728
15 95 100 50 700 0.3759408523657982
15 95 115 50 700 0.3716603375008966
15 95 130 50 700 0.37159423252604007
15 95 145 50 700 0.3743792552327211
15 95 160 50 700 0.3699818296654507
15 95 175 50 700 0.3683450791444296
15 95 190 50 700 0.3686083695956924
15 95 205 50 700 0.36917665227451957
15 95 220 50 700 0.3664441059078949
15 95 235 50 700 0.36149115345787214
15 95 250 50 700 0.3598121474612675
15 5 100 50 725 0.3838804642666769
15 5 115 50 725 0.385777073490664
15 5 130 50 725 0.38813333085384644
15 5 145 50 725 0.3902835702328084
15 5 160 50 725 0.3952824250874569
15 5 175 50 725 0.3975064639533882
15 5 190 50 725 0.3992258465747906
15 5 205 50 725 0.39664876228167034
15 5 220 50 725 0.3923709014587506
15 5 235 50 725 0.3908483244837067
15 5 250 50 725 0.38561012340922407
15 10 100 50 725 0.38861450382997637
15 10 115 50 725 0.3873536431453708
15 10 130 50 725 0.3861441378587011
15 10 145 50 725 0.38640583206462337
15 10 160 50 725 0.39309370857646386
15 10 175 50 725 0.3942716733945662
15 10 190 50 725 0.3967125512120588
15 10 205 50 725 0.3939456211714216
15 10 220 50 725 0.3903269877194267
15 10 235 50 725 0.3895383118113482
15 10 250 50 725 0.3845884024418801
15 15 100 50 725 0.38857208877317595
15 15 115 50 725 0.3898618382522298
15 15 130 50 725 0.38818289343302353
15 15 145 50 725 0.385874411799804
15 15 160 50 725 0.392513942804617
15 15 175 50 725 0.3929204503200759
15 15 190 50 725 0.39501993415733233
15 15 205 50 725 0.39230680312361305
15 15 220 50 725 0.388514558678389
15 15 235 50 725 0.3875513680048271
15 15 250 50 725 0.3830076492942732
15 20 100 50 725 0.3911516899134593
15 20 115 50 725 0.38998503345915325
15 20 130 50 725 0.38637658183423323
15 20 145 50 725 0.3832490373609866
15 20 160 50 725 0.3941504481618018
15 20 175 50 725 0.39104869802633224
15 20 190 50 725 0.39149164219995186
15 20 205 50 725 0.38937885036624714
15 20 220 50 725 0.3854904536442122
15 20 235 50 725 0.3834683412537033
15 20 250 50 725 0.3810192878461885
15 25 100 50 725 0.38838760175999937
15 25 115 50 725 0.390179071097022
15 25 130 50 725 0.3865119778279922
15 25 145 50 725 0.3901429905090078
15 25 160 50 725 0.39134071740826265
15 25 175 50 725 0.3859093699214194
15 25 190 50 725 0.3892439807620629
15 25 205 50 725 0.38739720011261547
15 25 220 50 725 0.38368289952147805
15 25 235 50 725 0.38095275582946597
15 25 250 50 725 0.3796952769545913
15 30 100 50 725 0.39240089664918987
15 30 115 50 725 0.39057264788645624
15 30 130 50 725 0.39046794542679586
15 30 145 50 725 0.3900012583818798
15 30 160 50 725 0.39275782509910795
15 30 175 50 725 0.38706194839569824
15 30 190 50 725 0.38850867709067266
15 30 205 50 725 0.3855366049682224
15 30 220 50 725 0.38121986885899173
15 30 235 50 725 0.3794493209421603
15 30 250 50 725 0.3773643877823398
15 35 100 50 725 0.39248356480695695
15 35 115 50 725 0.38965531592350755
15 35 130 50 725 0.3925549195071569
15 35 145 50 725 0.39319078028164756
15 35 160 50 725 0.3910052372654925
15 35 175 50 725 0.38704254775874375
15 35 190 50 725 0.3877249678096465
15 35 205 50 725 0.38506058760089645
15 35 220 50 725 0.3798318810432864
15 35 235 50 725 0.37851889648271975
15 35 250 50 725 0.37947089535387446
15 40 100 50 725 0.3854501912287567
15 40 115 50 725 0.3883546588323311
15 40 130 50 725 0.39219688693303423
15 40 145 50 725 0.3907305652224438
15 40 160 50 725 0.3887445954334678
15 40 175 50 725 0.384813270720177
15 40 190 50 725 0.38593681146208064
15 40 205 50 725 0.38531541586639384
15 40 220 50 725 0.38324828373053316
15 40 235 50 725 0.3807500998722994
15 40 250 50 725 0.3816362393940991
15 45 100 50 725 0.3878331108263309
15 45 115 50 725 0.3875341822873421
15 45 130 50 725 0.39030682772226016
15 45 145 50 725 0.39060993808130795
15 45 160 50 725 0.3861078829203873
15 45 175 50 725 0.38379652641537476
15 45 190 50 725 0.384230175774985
15 45 205 50 725 0.38552392569123944
15 45 220 50 725 0.385037460591099
15 45 235 50 725 0.38285827049271814
15 45 250 50 725 0.3823258488878872
15 50 100 50 725 0.3884310849518982
15 50 115 50 725 0.38749947065171314
15 50 130 50 725 0.38978846116693233
15 50 145 50 725 0.3887578182944406
15 50 160 50 725 0.3862016727582771
15 50 175 50 725 0.38281007038225806
15 50 190 50 725 0.3841211485650995
15 50 205 50 725 0.3852118426790979
15 50 220 50 725 0.3828494777252661
15 50 235 50 725 0.38620261415843016
15 50 250 50 725 0.3824374356332429
15 55 100 50 725 0.38642423664099235
15 55 115 50 725 0.3888232608126123
15 55 130 50 725 0.39036562804910685
15 55 145 50 725 0.38814309474499714
15 55 160 50 725 0.3867620262565265
15 55 175 50 725 0.38106674686127384
15 55 190 50 725 0.3825031625962481
15 55 205 50 725 0.3847409682257478
15 55 220 50 725 0.3843203812212073
15 55 235 50 725 0.38306428637203
15 55 250 50 725 0.3798341691294125
15 60 100 50 725 0.3857961305493573
15 60 115 50 725 0.3832654686651991
15 60 130 50 725 0.38520273517319453
15 60 145 50 725 0.3850994498898399
15 60 160 50 725 0.37947128491998033
15 60 175 50 725 0.380428958943964
15 60 190 50 725 0.3825334533621261
15 60 205 50 725 0.3854373368768432
15 60 220 50 725 0.3812023155088043
15 60 235 50 725 0.3797454031916614
15 60 250 50 725 0.37763575068912353
15 65 100 50 725 0.3850405650678138
15 65 115 50 725 0.38616866113413467
15 65 130 50 725 0.3843106575148861
15 65 145 50 725 0.3807408367620446
15 65 160 50 725 0.37735895489435783
15 65 175 50 725 0.3828944685929156
15 65 190 50 725 0.3831425396564233
